146	1	1	
226	1	1	
720	1	1	
4081	1	1	
4123	1	1	
4197	1	1	
3907	3	1	
3919	3	1	
4032	3	1	
4213	3	1	
4226	4	1	
226	5	1	
452	5	1	
483	5	1	
942	5	1	
968	5	1	
1038	5	1	
1103	5	1	
1382	5	1	
1416	5	1	
1588	5	1	
1589	5	1	
2202	5	1	
2394	5	1	
2435	5	1	
2520	5	1	
2523	5	1	
2619	5	1	
2669	5	1	
2684	5	1	
2834	5	1	
2845	5	1	
2862	5	1	
2979	5	1	
3101	5	1	
3109	5	1	
3292	5	1	
3447	5	1	
3668	5	1	
3678	5	1	
3727	5	1	
3751	5	1	
3799	5	1	
3875	5	1	
3974	5	1	
4001	5	1	
4061	5	1	
4122	5	1	
4123	5	1	
4136	5	1	
4150	5	1	
4197	5	1	
4199	5	1	
4213	5	1	
4222	5	1	
49	6	1	
962	6	1	
1069	6	1	
2390	6	1	
2538	6	1	
2642	6	1	
3062	6	1	
3330	6	1	
3462	6	1	
3518	6	1	
3651	6	1	
3850	6	1	
3868	6	1	
3898	6	1	
3996	6	1	
4018	6	1	
4081	6	1	
4143	6	1	
4211	6	1	
4220	6	1	
4222	6	1	
4232	6	1	
3850	8	1	
860	10	1	
3868	10	1	
3901	10	1	
129	11	1	
145	11	1	
217	11	1	
1655	11	1	
2229	11	1	
2356	11	1	
49	14	1	
235	14	1	
3678	15	1	
4150	15	1	
4197	15	1	
4222	15	1	
3215	16	1	
3887	16	1	
4151	16	1	
4175	16	1	
2822	17	1	
852	18	1	
1696	18	1	
4004	18	1	
2185	20	1	
2537	20	1	
3405	20	1	
3751	22	1	
4007	22	1	
4213	22	1	
151	23	1	
3001	23	1	
4139	23	1	
2535	25	1	
3859	25	1	
4175	25	1	
28	26	1	
2319	27	1	
2805	27	1	
4032	27	1	
968	28	1	
1308	28	1	
1856	28	1	
3726	28	1	
3903	28	1	
3989	28	1	
4032	28	1	
4224	28	1	
1388	29	1	
1602	29	1	
49	30	1	
140	30	1	
175	30	1	
257	30	1	
332	30	1	
345	30	1	
826	30	1	
852	30	1	
995	30	1	
1148	30	1	
1335	30	1	
1388	30	1	
1518	30	1	
1602	30	1	
1627	30	1	
1696	30	1	
2000	30	1	
2185	30	1	
2198	30	1	
2427	30	1	
2529	30	1	
2537	30	1	
3009	30	1	
3113	30	1	
3229	30	1	
3230	30	1	
3279	30	1	
3456	30	1	
3498	30	1	
3503	30	1	
3857	30	1	
163	31	1	
2338	31	1	
2467	31	1	
2617	31	1	
3127	31	1	
3299	31	1	
3416	31	1	
4006	31	1	
4007	31	1	
4039	31	1	
4221	31	1	
49	33	1	
462	33	1	
1307	33	1	
3292	33	1	
768	34	1	
871	34	1	
1389	34	1	
1430	34	1	
1638	34	1	
2845	34	1	
3214	34	1	
3603	34	1	
4150	34	1	
1196	35	1	
2462	35	1	
3517	35	1	
4124	35	1	
2185	36	1	
2537	36	1	
3348	36	1	
3689	36	1	
3907	36	1	
4118	36	1	
4150	36	1	
1	37	1	
13	37	1	
44	37	1	
49	37	1	
53	37	1	
91	37	1	
108	37	1	
118	37	1	
123	37	1	
129	37	1	
140	37	1	
146	37	1	
156	37	1	
158	37	1	
176	37	1	
225	37	1	
226	37	1	
228	37	1	
229	37	1	
243	37	1	
245	37	1	
272	37	1	
310	37	1	
326	37	1	
331	37	1	
360	37	1	
372	37	1	
377	37	1	
421	37	1	
429	37	1	
432	37	1	
434	37	1	
437	37	1	
452	37	1	
457	37	1	
