1	24	48	19	11	95	68	60	28	60	1	32	1	78	57	27	15	54	47	42	10	90	1	62	97	8	30	41	59	55	70	60	86	51	54	52	90	20	82	100	36	60	83	22	90	72	16	39	57	11	9	26	45	63	81	89	47	23	86	85	78	95	54	18	78	10	81	72	21	43	15	68	95	24	56	87	60	49	33	95	93	59	67	99	58	88	22	98	43	57	40	91	86	37	99	31	8	22	61	63	46	92	
12	57	24	27	78	15	46	69	30	86	20	91	12	7	29	11	80	8	86	82	83	81	77	52	68	85	51	40	61	35	29	61	38	31	37	95	97	95	41	27	37	87	20	90	21	20	54	14	53	15	81	92	24	31	77	22	33	85	44	16	100	68	99	65	7	65	55	91	19	74	96	29	19	17	11	9	7	49	14	73	16	91	90	67	39	22	60	24	35	75	9	2	75	34	40	42	53	35	35	13	99	10	
15	143	95	88	88	31	21	80	74	31	92	74	73	28	98	92	31	31	94	81	55	29	38	7	95	99	53	1	18	2	100	47	52	69	44	74	11	52	85	100	47	57	17	42	88	59	39	35	50	1	83	38	57	4	82	92	61	91	52	96	87	1	10	88	54	37	52	11	41	21	27	77	58	49	31	49	20	22	55	65	16	68	70	42	28	34	38	1	11	81	18	26	5	50	63	16	86	42	48	98	14	82	
50	201	21	60	100	94	31	65	47	86	26	47	96	67	54	79	91	94	28	88	55	3	38	18	23	51	81	45	14	24	61	21	94	54	56	75	75	99	29	58	42	52	5	30	41	76	44	78	95	78	52	80	51	8	9	100	9	36	33	14	50	37	66	52	45	95	16	94	2	73	87	37	52	88	61	17	85	88	73	93	96	61	82	9	85	75	7	98	48	6	9	24	37	23	84	59	58	81	49	94	7	46	
81	206	61	7	41	20	95	31	50	98	42	40	80	18	19	18	13	51	94	52	80	98	5	79	77	58	93	10	75	24	15	32	6	31	9	92	47	32	93	22	58	81	79	21	69	5	45	31	44	24	99	82	30	63	25	10	22	1	37	55	8	30	53	69	61	27	85	72	62	33	19	75	75	10	7	65	90	44	86	40	23	74	1	70	62	55	73	3	15	96	60	6	82	76	7	9	86	88	93	24	55	60	
97	307	23	14	4	36	74	99	25	31	70	96	57	17	58	32	33	50	92	96	93	39	57	4	72	71	57	28	99	68	46	87	73	66	75	20	8	28	25	38	11	36	17	7	47	89	56	82	65	46	12	30	43	75	90	36	74	31	34	59	63	45	56	91	94	7	16	75	48	70	31	14	30	76	29	12	98	60	59	84	64	50	73	68	69	83	25	79	57	2	94	58	49	71	93	56	14	28	63	52	1	67	
113	334	31	55	70	85	96	84	14	19	12	97	67	6	11	8	89	79	85	23	19	77	9	39	83	94	49	92	1	46	8	40	22	32	73	38	22	18	96	11	99	82	38	92	68	61	98	96	36	8	64	20	15	49	27	53	86	89	39	61	37	81	14	72	25	81	55	73	86	50	34	87	78	81	99	37	6	43	18	90	85	17	20	92	38	48	16	91	52	95	54	86	95	34	8	76	76	97	93	83	63	94	
121	366	91	78	90	1	54	81	45	41	80	73	58	75	96	38	7	57	41	2	38	36	29	11	35	46	6	33	10	67	78	43	52	66	74	93	51	34	44	69	24	31	38	39	90	49	86	18	59	48	7	87	5	5	38	15	17	6	33	98	90	16	67	87	33	75	63	12	58	13	100	61	28	68	80	25	97	3	36	59	82	100	67	37	14	94	58	64	54	84	28	77	95	65	88	1	32	76	64	59	44	83	
207	400	22	57	81	23	22	100	92	76	16	88	8	26	38	64	71	5	97	5	58	39	82	17	87	26	73	59	97	100	34	30	44	84	12	90	66	59	11	82	46	98	75	95	6	29	2	96	82	67	10	96	43	63	13	37	31	87	68	19	47	96	78	66	66	2	38	37	100	92	78	22	32	17	61	91	96	98	68	91	35	72	76	77	9	92	49	34	67	54	3	58	53	43	27	24	17	25	67	3	77	17	
144	404	71	94	27	49	12	94	2	31	44	68	70	21	98	29	51	8	17	79	98	24	70	59	37	69	19	81	74	42	46	39	31	79	23	66	95	17	57	52	45	52	2	28	10	1	59	94	91	52	37	46	23	68	50	71	10	61	75	93	89	87	99	45	7	60	41	98	54	63	27	21	81	63	64	63	32	24	74	91	89	91	14	44	90	66	58	19	8	63	97	76	50	100	12	20	22	14	44	4	83	49	
203	376	95	77	14	65	79	88	79	37	42	93	62	21	29	36	54	93	26	93	84	19	49	95	72	68	77	82	80	64	88	31	96	3	93	62	47	26	5	19	95	73	70	43	89	25	15	8	35	79	74	71	51	2	79	31	67	41	6	42	16	91	12	60	72	27	76	6	37	14	93	90	52	62	54	60	52	75	81	91	36	16	31	42	29	9	45	12	49	20	12	66	1	74	54	15	80	100	57	17	62	15	
206	442	11	44	90	33	91	18	36	62	42	8	61	70	10	28	50	29	71	34	32	56	98	21	40	22	71	70	63	13	39	70	79	95	51	33	89	47	52	11	41	96	96	46	70	73	36	71	68	89	67	99	96	31	37	1	42	27	34	29	9	13	21	90	71	26	81	30	73	81	67	77	10	80	46	8	35	51	73	6	14	35	64	27	18	82	53	9	40	80	91	67	63	72	20	70	60	1	27	77	28	41	
114	443	7	26	86	39	10	77	25	66	72	36	76	84	6	58	48	39	12	81	31	38	16	43	53	39	50	3	85	96	40	93	75	24	28	22	92	64	25	10	16	86	15	93	87	58	13	98	32	90	39	94	75	72	56	15	82	22	42	88	93	85	26	41	63	5	27	33	90	89	54	26	63	33	34	92	46	22	21	29	86	34	65	60	67	26	89	71	71	79	17	99	77	14	57	72	42	88	100	71	49	19	
233	379	33	80	48	79	49	14	85	25	21	78	87	65	99	22	87	36	5	85	53	77	25	79	69	45	76	72	63	27	86	54	88	100	34	59	17	38	25	51	18	58	95	85	92	11	21	33	90	90	66	19	9	85	45	34	60	65	96	96	70	39	74	24	79	77	95	92	18	88	99	62	24	26	38	43	54	96	54	5	76	59	29	41	5	11	7	33	93	21	69	60	41	71	84	81	18	68	32	22	95	5	
242	589	57	78	36	17	47	34	39	54	84	92	78	19	8	96	69	32	41	93	93	68	56	80	67	12	38	95	3	33	2	13	51	49	75	27	27	7	96	50	79	36	49	67	59	77	24	97	63	95	80	75	37	23	18	3	70	58	50	56	77	97	37	56	38	39	43	11	79	1	45	37	95	35	70	53	53	78	94	90	74	96	52	34	19	47	3	39	1	20	63	7	11	83	61	14	21	78	39	57	60	2	
256	597	13	20	63	17	31	4	47	90	72	60	21	55	86	45	72	23	86	50	57	84	76	11	92	44	33	59	71	85	8	94	83	33	26	61	44	44	89	4	15	68	93	28	37	83	19	24	42	58	29	84	87	84	43	64	99	4	24	86	100	77	15	36	96	74	48	33	24	43	55	5	26	18	77	91	36	7	6	25	4	32	32	30	84	72	66	96	62	43	69	29	66	44	61	28	15	50	3	29	38	96	
262	637	93	14	26	18	53	93	53	10	59	64	78	35	45	57	84	1	21	32	78	23	89	40	31	68	42	61	94	74	18	33	36	25	20	30	35	44	32	12	55	9	73	33	38	13	88	18	25	100	84	95	18	33	99	15	81	55	5	38	1	85	53	19	59	41	7	99	88	77	3	97	87	99	82	53	16	64	62	68	67	54	25	30	12	69	40	76	62	38	37	84	19	44	47	62	61	98	88	24	74	88	
268	649	33	19	99	56	70	81	47	41	8	69	79	68	56	2	44	6	37	34	57	63	38	46	82	46	15	71	90	60	58	7	32	26	50	67	11	50	68	61	50	42	80	28	46	87	14	44	76	10	19	49	22	4	60	100	72	24	49	19	93	76	43	53	74	82	54	55	82	47	32	9	84	17	85	65	79	88	50	24	12	98	44	5	3	60	33	15	68	18	57	65	84	68	98	36	33	74	37	29	73	22	
